workload,gap_tsc_ticks,k_prefill,submitted,samples,median_submit_ns,p90_submit_ns,p99_submit_ns,median_prefill_submit_tsc_ticks,avg_prefill_submit_tsc_ticks,median_post_submit_completion_tsc_ticks,min_prefill_completed,max_prefill_completed,median_hardware_observed,min_hardware_observed,max_hardware_observed,min_trace_missing,max_trace_missing,trace_errors_max,drain_completed_samples,drain_incomplete_samples,drain_statuses
64KiB,0,114,115,10,207.0,219,224,852.0,910.6,526146.0,114,114,115.0,115,115,0,0,0,10,0,1
64KiB,0,128,129,10,217.5,221,223,3589.0,3741.4,599211.0,128,128,129.0,129,129,0,0,0,10,0,1
64KiB,0,160,161,10,215.0,218,221,10882.0,12545.4,2233510.0,139,142,142.0,139,142,19,22,0,10,0,1
64KiB,0,192,193,10,211.5,220,221,19147.0,20314.2,2241000.0,140,144,143.0,141,144,49,52,0,10,0,1
64KiB,0,224,225,10,216.0,220,220,26880.0,28192.8,2233073.0,142,145,145.0,142,145,80,83,0,10,0,1
64KiB,0,256,257,10,210.0,220,226,47819.0,48791.6,2347741.0,143,147,145.0,143,147,110,114,0,10,0,1
64KiB,0,288,289,10,212.0,218,221,41588.0,43016,2272671.0,145,148,148.0,145,149,140,144,0,10,0,1
64KiB,0,320,321,10,212.5,218,218,49059.0,50405.2,2253523.0,145,150,150.0,145,150,171,176,0,10,0,1
64KiB,1,96,97,10,13.0,13,14,5171.0,6525.4,440895.0,96,96,97.0,97,97,0,0,0,10,0,1
64KiB,1,114,115,10,13.0,13,14,4877.0,6768.6,522002.0,114,114,115.0,115,115,0,0,0,10,0,1
64KiB,1,128,129,10,13.0,212,221,5481.0,9166,586181.0,128,128,129.0,129,129,0,0,0,10,0,1
64KiB,1,160,161,10,213.5,219,221,11363.0,12758.2,2242922.0,139,142,142.0,139,142,19,22,0,10,0,1
64KiB,1,192,193,10,212.5,219,220,19375.0,22111.8,2228060.0,140,144,143.0,140,144,49,53,0,10,0,1
64KiB,1,224,225,10,216.0,217,218,26925.0,27924.2,2271191.0,142,144,144.0,142,144,81,83,0,10,0,1
64KiB,1,256,257,10,215.0,219,222,34475.0,34278.2,2256470.0,144,147,147.0,144,147,110,113,0,10,0,1
64KiB,1,288,289,10,213.0,220,225,41349.0,42765,2276621.0,144,147,147.0,145,147,142,144,0,10,0,1
64KiB,1,320,321,10,213.5,228,350,49158.0,49303.4,2323737.0,147,150,150.0,147,151,170,174,0,10,0,1
64KiB,10,96,97,10,13.0,213,216,10255.0,9154.4,437051.0,96,96,97.0,97,97,0,0,0,10,0,1
64KiB,10,114,115,10,13.0,217,220,9489.0,9860,522104.0,114,114,115.0,115,115,0,0,0,10,0,1
64KiB,10,128,129,10,13.5,201,210,9872.0,10232.8,587842.0,128,128,129.0,129,129,0,0,0,10,0,1
64KiB,10,160,161,10,212.0,217,219,11787.0,15566.6,2244501.0,139,143,142.0,139,143,18,22,0,10,0,1
64KiB,10,192,193,10,214.5,218,868,18973.0,20881.2,2242301.0,140,142,142.0,140,142,51,53,0,10,0,1
64KiB,10,224,225,10,213.5,216,216,26852.0,26784.6,2243566.0,141,144,143.0,141,144,81,84,0,10,0,1
64KiB,10,256,257,10,214.0,217,218,34506.0,34493.6,2262962.0,144,146,145.5,144,146,111,113,0,10,0,1
64KiB,10,288,289,10,214.5,217,223,41034.0,42814,2297203.0,145,148,148.0,145,148,141,144,0,10,0,1
64KiB,10,320,321,10,210.0,217,217,48836.0,50155.8,2236508.0,147,150,150.0,147,150,171,174,0,10,0,1
64KiB,25,96,97,10,13.0,13,14,6158.0,7218.2,438692.0,96,96,97.0,97,97,0,0,0,10,0,1
64KiB,25,114,115,10,13.0,74,224,8349.0,10297,519630.0,114,114,115.0,115,115,0,0,0,10,0,1
64KiB,25,128,129,10,13.0,13,13,11685.0,10941.6,591678.0,128,128,129.0,129,129,0,0,0,10,0,1
64KiB,25,160,161,10,41.5,209,210,14207.0,14858.4,2251780.0,140,142,142.0,140,142,19,21,0,10,0,1
64KiB,25,192,193,10,210.5,215,218,18890.0,20424.8,2240754.0,141,144,143.5,141,144,49,52,0,10,0,1
64KiB,25,224,225,10,214.5,218,220,26506.0,26489,2227054.0,142,145,145.0,142,145,80,83,0,10,0,1
64KiB,25,256,257,10,213.0,217,225,34615.0,35950.2,2258966.0,144,146,145.0,144,146,111,113,0,10,0,1
64KiB,25,288,289,10,215.0,223,229,41704.0,43077.4,2268276.0,146,148,148.0,146,148,141,143,0,10,0,1
64KiB,25,320,321,10,214.5,217,218,49339.0,50641.2,2284519.0,147,150,150.0,147,150,171,174,0,10,0,1
64KiB,50,96,97,10,13.0,14,43,8196.0,9302.8,445042.0,96,96,97.0,97,97,0,0,0,10,0,1
64KiB,50,114,115,10,13.5,155,218,9751.0,11846,517034.0,114,114,115.0,115,115,0,0,0,10,0,1
64KiB,50,128,129,10,13.0,209,217,15524.0,14527.6,579742.0,128,128,129.0,129,129,0,0,0,10,0,1
64KiB,50,160,161,10,13.5,91,212,15229.0,15623.8,2241009.0,139,142,142.0,139,142,19,22,0,10,0,1
64KiB,50,192,193,10,213.5,221,227,18771.0,20311.2,2233374.0,140,144,144.0,141,144,49,52,0,10,0,1
64KiB,50,224,225,10,211.5,217,218,26414.0,30184.8,2238691.0,142,147,145.0,142,147,78,83,0,10,0,1
64KiB,50,256,257,10,213.0,217,218,33634.0,34050.6,2225064.0,144,147,147.0,144,147,110,113,0,10,0,1
64KiB,50,288,289,10,11.0,13,13,65689.0,65495.2,2257330.0,146,149,148.0,146,149,140,143,0,10,0,1
64KiB,50,320,321,10,212.5,217,220,49160.0,49160,2294746.0,147,149,149.0,147,149,172,174,0,10,0,1
64KiB,100,96,97,10,14.0,215,266,15214.0,15096.4,432074.0,96,96,97.0,97,97,0,0,0,10,0,1
64KiB,100,114,115,10,12.0,13,14,18530.0,18479.6,511753.0,114,114,115.0,115,115,0,0,0,10,0,1
64KiB,100,128,129,10,13.0,14,14,18723.0,18754,574006.0,128,128,129.0,129,129,0,0,0,10,0,1
64KiB,100,160,161,10,11.0,13,212,22515.0,22931.6,2247155.0,139,142,142.0,139,142,19,22,0,10,0,1
64KiB,100,192,193,10,10.0,13,13,25338.0,25218.8,2238082.0,140,144,144.0,140,144,49,53,0,10,0,1
64KiB,100,224,225,10,13.0,195,203,28394.0,28953.4,2238059.0,142,145,145.0,142,145,80,83,0,10,0,1
